,Price,Bathrooms,Car Parks,Property Type,Size,Furnishing,area,No_of_Bedrooms,No_of_servant_rooms,type,size,studio_apartment
174,2050000,5,2,Condominium,"Built-up : 2,356 sq. ft.",Fully Furnished,KLCC,3,1,Built-up ,2356,0
175,1121800,2,1,Serviced Residence,"Built-up : 1,200 sq. ft.",Fully Furnished,Bangsar South,2,1,Built-up ,1200,0
176,1506300,1,1,Serviced Residence (Intermediate),"Built-up : 1,020 sq. ft.",Fully Furnished,KLCC,2,0,Built-up ,1020,0
177,1530000,3,2,Condominium (Corner),"Built-up : 2,095 sq. ft.",Fully Furnished,Bangsar,3,1,Built-up ,2095,0
178,3680000,8,4,Bungalow (Corner),Land area : 6300 sq. ft.,Unfurnished,Ampang,7,0,Land area ,6300,0
179,14800000,6,4,Bungalow,Land area : 8611 sq. ft.,Fully Furnished,Sri Hartamas,4,2,Land area ,8611,0
180,1480000,4,2,Condominium (Corner),"Built-up : 1,917 sq. ft.",Partly Furnished,Desa ParkCity,3,2,Built-up ,1917,0
181,1050000,2,2,Condominium (Intermediate),"Built-up : 1,485 sq. ft.",Fully Furnished,Bangsar South,3,0,Built-up ,1485,0
182,1200019,2,1,Condominium (Corner),Built-up : 577 sq. ft.,Partly Furnished,Klcc,2,0,Built-up ,577,0
183,1820000,4,2,Condominium (Corner),"Built-up : 1,830 sq. ft.",Partly Furnished,Mont Kiara,4,1,Built-up ,1830,0
184,1420000,4,2,Condominium,"Built-up : 1,499 sq. ft.",Partly Furnished,Mont Kiara,3,1,Built-up ,1499,0
185,1830000,4,2,Condominium,"Built-up : 1,832 sq. ft.",Partly Furnished,Mont Kiara,4,1,Built-up ,1832,0
186,1680000,2,3,Condominium,"Built-up : 1,159 sq. ft.",Fully Furnished,KLCC,3,1,Built-up ,1159,0
187,2210000,3,2,Condominium,"Built-up : 1,502 sq. ft.",Fully Furnished,KLCC,3,0,Built-up ,1502,0
188,1420000,2,1,Condominium (Intermediate),Built-up : 976 sq. ft.,Fully Furnished,KLCC,2,0,Built-up ,976,0
189,3600000,5,2,Serviced Residence (Corner),Land area : 3897 sq. ft.,Partly Furnished,KLCC,4,1,Land area ,3897,0
190,1139000,1,1,Condominium,Built-up : 751 sq. ft.,Partly Furnished,KLCC,1,0,Built-up ,751,0
191,2930000,2,2,Serviced Residence (Corner),"Built-up : 1,114 sq. ft.",Fully Furnished,KLCC,2,0,Built-up ,1114,0
192,1620000,2,1,Serviced Residence,"Built-up : 1,194 sq. ft.",Partly Furnished,Damansara Heights,1,1,Built-up ,1194,0
193,1300000,3,2,Condominium (Intermediate),"Built-up : 1,367 sq. ft.",Partly Furnished,Desa ParkCity,2,1,Built-up ,1367,0
194,8000000,7,6,Bungalow (Corner),Land area : 10600 sq. ft.,Partly Furnished,Country Heights Damansara,7,0,Land area ,10600,0
195,6500000,4,6,Bungalow (Corner),Land area : 7880 sq. ft.,Partly Furnished,Damansara Heights,5,1,Land area ,7880,0
196,1600000,2,2,Townhouse,"Built-up : 2,400 sq. ft.",Partly Furnished,Bangsar,3,0,Built-up ,2400,0
197,1730000,3,2,Condominium (Corner),"Built-up : 1,690 sq. ft.",Fully Furnished,Desa ParkCity,3,1,Built-up ,1690,0
198,1500000,2,2,Condominium (Intermediate),"Built-up : 1,346 sq. ft.",Fully Furnished,Desa ParkCity,3,1,Built-up ,1346,0
199,1500000,3,2,Condominium (Intermediate),"Built-up : 1,400 sq. ft.",Partly Furnished,Desa ParkCity,3,1,Built-up ,1400,0
200,1180000,3,2,Condominium,"Built-up : 1,507 sq. ft.",Partly Furnished,Desa ParkCity,2,1,Built-up ,1507,0
201,2950000,4,2,Condominium (Corner),"Built-up : 2,674 sq. ft.",Partly Furnished,KLCC,3,1,Built-up ,2674,0
202,3090000,2,2,Serviced Residence,"Built-up : 1,572 sq. ft.",Partly Furnished,KLCC,2,0,Built-up ,1572,0
203,1230000,4,2,Serviced Residence (Corner),"Built-up : 1,378 sq. ft.",Fully Furnished,KLCC,3,1,Built-up ,1378,0
204,350000,2,1,Serviced Residence,Built-up : 950 sq. ft.,Partly Furnished,Jalan Klang Lama (Old Klang Road),3,0,Built-up ,950,0
205,1230000,1,1,Serviced Residence (Intermediate),Built-up : 850 sq. ft.,Fully Furnished,KLCC,1,0,Built-up ,850,0
